e,r,r
1002,-61,-12
1003,-53,-4
1004,-71,-22
1005,-64,-15
1006,-16,-65
1007,-71,-22
1008,-67,-18
1009,-72,-23
1010,-35,-84
1011,-20,-69
1012,-16,-65
1013,-67,-18
1014,-73,-24
1015,-9,-58
1016,-13,-62
1017,-9,-58
1018,-25,-74
1019,-67,-18
1020,-75,-26
1021,-9,-58
1022,-11,-60
1023,-6,-55
1024,-26,-75
1025,-64,-15
1026,-71,-22
1027,-72,-23
1028,-34,-83
1029,-53,-4
1030,-14,-63
1031,-97,-97
1032,-17,-66
1033,-18,-67
1034,-92,-43
1035,-5,-54
1036,-14,-63
1037,-56,-7
1038,-13,-62
1039,-77,-28
1040,-16,-65
1041,-23,-72
1042,-69,-20
1043,-55,-6
1044,-12,-61
1045,-9,-58
1046,-95,-46
1047,-57,-106
1048,-25,-74
1049,-18,-67
1050,-56,-105
1051,-28,-77
1052,-26,-75
1053,-63,-14
1054,-15,-64
1055,-59,-10
1056,-11,-60
1057,-22,-71
1058,-80,-31
1059,-24,-73
1060,-80,-31
1061,-14,-63
1062,-10,-59
1063,-64,-15
1064,-54,-5
1065,-26,-75
1066,-23,-72
1067,-9,-58
1068,-13,-62
1069,-68,-19
1070,-18,-67
1071,-53,-4
1072,-27,-76
1073,-32,-81
1074,-17,-66
1075,-13,-62
1076,-69,-20
1077,-27,-76
1078,-22,-71
1079,-19,-68
1080,-91,-42
1081,-8,-57
1082,-27,-76
1083,-27,-76
1084,-6,-55
1085,-19,-68
1086,-31,-80
1087,-15,-64
1088,-26,-75
1089,-4,-53
1090,-74,-25
1091,-38,-87
1092,-8,-57
1093,-18,-67
1094,-19,-68
1095,-10,-59
1096,-22,-71
1097,-62,-13
1098,-17,-66
1099,-11,-60
1100,-16,-65
1101,-4,-53
1102,-27,-76
1103,-21,-70
1104,-83,-34
1105,-59,-10
1106,-9,-58
1107,-5,-54
1108,-78,-29
1109,-27,-76
1110,-54,-5
1111,-58,-9
1112,-15,-64
1113,-17,-66
1114,-61,-12
1115,-13,-62
1116,-56,-7
1117,-38,-87
1118,-52,-101
1119,-19,-68
1120,-14,-63
1121,-43,-92
1122,-73,-24
1123,-62,-13
1124,-46,-95
1125,-19,-68
1126,-10,-59
1127,-7,-56
1128,-29,-78
1129,-21,-70
1130,-67,-18
1131,-29,-78
1132,-58,-107
1133,-56,-7
1134,-23,-72
1135,-9,-58
1136,-72,-23
1137,-9,-58
1138,-12,-61
1139,-68,-19
1140,-10,-59
1141,-49,-98
1142,-61,-12
1143,-63,-14
1144,-26,-75
1145,-57,-8
1146,-20,-69
1147,-16,-65
1148,-21,-70
1149,-4,-53
1150,-9,-58
1151,-13,-62
1152,-22,-71
1153,-81,-32
1154,-8,-57
1155,-13,-62
1156,-23,-72
1157,-89,-40
1158,-82,-33
1159,-28,-77
1160,-17,-66
1161,-10,-59
1162,-11,-60
1163,-52,-101
1164,-10,-59
1165,-20,-69
1166,-57,-8
1167,-16,-65
1168,-11,-60
1169,-72,-23
1170,-5,-54
1171,-63,-14
1172,-9,-58
1173,-14,-63
1174,-73,-24
1175,-12,-61
1176,-67,-18
1177,-59,-10
1178,-9,-58
1179,-74,-25
1180,-30,-79
1181,-20,-69
1182,-10,-59
1183,-90,-41
1184,-30,-79
1185,-5,-54
1186,-59,-108
1187,-9,-58
1188,-62,-13
1189,-4,-53
1190,-6,-55
1191,-31,-80
1192,-65,-16
1193,-20,-69
1194,-29,-78
1195,-4,-53
1196,-29,-78
1197,-20,-69
1198,-12,-61
1199,-21,-70
1200,-9,-58
1201,-19,-68
1202,-25,-74
1203,-12,-61
1204,-82,-33
1205,-35,-84
1206,-12,-61
1207,-61,-12
1208,-20,-69
1209,-79,-30
1210,-22,-71
1211,-18,-67
1212,-69,-20
1213,-62,-13
1214,-11,-60
1215,-26,-75
1216,-57,-8
1217,-17,-66
1218,-59,-10
1219,-22,-71
1220,-59,-10
1221,-9,-58
1222,-20,-69
1223,-19,-68
1224,-14,-63
1225,-14,-63
1226,-14,-63
1227,-16,-65
1228,-58,-107
1229,-74,-25
1230,-62,-13
1231,-58,-9
1232,-18,-67
1233,-10,-59
1234,-41,-90
1235,-34,-83
1236,-91,-42
1237,-28,-77
1238,-4,-53
1239,-13,-62
1240,-14,-63
1241,-63,-14
1242,-4,-53
1243,-82,-33
1244,-59,-108
1245,-66,-17
1246,-21,-70
1247,-70,-21
1248,-30,-79
1249,-10,-59
1250,-69,-20
1251,-16,-65
1252,-7,-56
1253,-61,-12
1254,-15,-64
1255,-67,-18
1256,-96,-47
